N,min_obs,overlap_start,overlap_end,grid_hours,complete_observed_ts,isolated_1h_filled,valid_ts_after_fill,missing_ts_after_fill,valid_pct,num_segments,longest_segment,usable_windows
2,639,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00,1115,639,459,1098,17,98.47533632286995,9,612,1039
3,639,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00,1115,639,459,1098,17,98.47533632286995,9,612,1039
4,639,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00,1115,639,459,1098,17,98.47533632286995,9,612,1039
5,639,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00,1115,639,459,1098,17,98.47533632286995,9,612,1039
6,639,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00,1115,639,459,1098,17,98.47533632286995,9,612,1039
7,639,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00,1115,639,459,1098,17,98.47533632286995,9,612,1039
8,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00,1115,638,458,1096,19,98.29596412556054,10,612,1020
9,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00,1115,638,458,1096,19,98.29596412556054,10,612,1020
10,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00,1115,638,458,1096,19,98.29596412556054,10,612,1020
11,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00,1115,638,458,1096,19,98.29596412556054,10,612,1020
12,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00,1115,638,458,1096,19,98.29596412556054,10,612,1020
13,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00,1115,638,458,1096,19,98.29596412556054,10,612,1020
14,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00,1115,638,458,1096,19,98.29596412556054,10,612,1020
15,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,732,392,321,713,19,97.40437158469946,10,415,637
16,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,732,392,321,713,19,97.40437158469946,10,415,637
17,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,732,392,321,713,19,97.40437158469946,10,415,637
18,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,732,392,321,713,19,97.40437158469946,10,415,637
19,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,732,392,321,713,19,97.40437158469946,10,415,637
20,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,732,392,321,713,19,97.40437158469946,10,415,637
21,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,732,392,321,713,19,97.40437158469946,10,415,637
22,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,732,392,321,713,19,97.40437158469946,10,415,637
23,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,732,392,321,713,19,97.40437158469946,10,415,637
24,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,732,392,321,713,19,97.40437158469946,10,415,637
25,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,729,390,320,710,19,97.39368998628258,10,415,634
26,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,729,390,320,710,19,97.39368998628258,10,415,634
27,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,729,390,320,710,19,97.39368998628258,10,415,634
28,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,729,390,320,710,19,97.39368998628258,10,415,634
29,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,729,390,320,710,19,97.39368998628258,10,415,634
30,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,729,390,320,710,19,97.39368998628258,10,415,634
31,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,729,390,320,710,19,97.39368998628258,10,415,634
32,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,729,390,320,710,19,97.39368998628258,10,415,634
