N,min_obs,common_ts,num_sequences,longest_sequence,usable_windows
2,639,639,468,11,0
3,639,639,468,11,0
4,639,639,468,11,0
5,639,639,468,11,0
6,639,639,468,11,0
7,639,639,468,11,0
8,638,638,468,11,0
9,638,638,468,11,0
10,638,638,468,11,0
11,638,638,468,11,0
12,638,638,468,11,0
13,638,638,468,11,0
14,638,638,468,11,0
15,392,392,331,2,0
16,392,392,331,2,0
17,392,392,331,2,0
18,392,392,331,2,0
19,392,392,331,2,0
20,392,392,331,2,0
21,392,392,331,2,0
22,392,392,331,2,0
23,392,392,331,2,0
24,392,392,331,2,0
25,390,390,330,2,0
26,390,390,330,2,0
27,390,390,330,2,0
28,390,390,330,2,0
29,390,390,330,2,0
30,390,390,330,2,0
31,390,390,330,2,0
32,390,390,330,2,0
33,390,390,330,2,0
34,390,390,330,2,0
35,390,390,330,2,0
36,390,390,330,2,0
37,390,390,330,2,0
38,390,390,330,2,0
39,390,390,330,2,0
40,390,390,330,2,0
41,390,390,330,2,0
42,390,390,330,2,0
43,390,390,330,2,0
44,390,390,330,2,0
45,390,390,330,2,0
46,390,390,330,2,0
47,390,390,330,2,0
48,390,390,330,2,0
49,390,390,330,2,0
50,390,390,330,2,0
51,390,390,330,2,0
52,390,390,330,2,0
53,390,390,330,2,0
54,390,390,330,2,0
55,390,390,330,2,0
56,390,390,330,2,0
57,390,390,330,2,0
58,390,390,330,2,0
59,390,390,330,2,0
60,390,390,330,2,0
61,390,390,330,2,0
62,390,390,330,2,0
63,390,390,330,2,0
64,390,390,330,2,0
65,302,302,274,2,0
66,302,302,274,2,0
67,302,302,274,2,0
68,302,302,274,2,0
69,302,302,274,2,0
70,302,302,274,2,0
71,302,302,274,2,0
72,302,302,274,2,0
73,302,302,274,2,0
74,302,302,274,2,0
75,302,302,274,2,0
76,302,302,274,2,0
77,302,302,274,2,0
78,302,302,274,2,0
79,302,302,274,2,0
80,302,302,274,2,0
81,302,302,274,2,0
82,302,302,274,2,0
83,302,302,274,2,0
84,302,302,274,2,0
85,302,302,274,2,0
86,302,302,274,2,0
87,302,302,274,2,0
88,302,302,274,2,0
89,302,302,274,2,0
90,302,302,274,2,0
91,302,302,274,2,0
92,302,302,274,2,0
93,302,302,274,2,0
94,302,302,274,2,0
95,302,302,274,2,0
96,302,302,274,2,0
