model,seed,horizon,node_index,corridor,MAE,RMSE,evaluated_points
Adaptive ST-GNN,42,1,0,tt_cawang.csv,6.157464504241943,8.438456615331273,46
Adaptive ST-GNN,42,1,1,tt_gatsu.csv,7.737916946411133,11.167077545653767,46
Adaptive ST-GNN,42,1,2,tt_grogol.csv,2.2839982509613037,3.17576443338106,46
Adaptive ST-GNN,42,1,3,tt_kelapagading.csv,1.477542519569397,1.8663697307426188,46
Adaptive ST-GNN,42,1,4,tt_kuningan.csv,2.0794167518615723,2.593376500457699,46
Adaptive ST-GNN,42,1,5,tt_sudirman.csv,4.529300689697266,5.108385462699782,46
Adaptive ST-GNN,42,1,6,tt_thamrin.csv,2.2861108779907227,3.091385679680267,46
Adaptive ST-GNN,42,1,7,tt_bekasi.csv,1.015825629234314,1.2297369339929891,46
Adaptive ST-GNN,42,1,8,tt_bogor.csv,3.240093946456909,4.254385312570711,46
Adaptive ST-GNN,42,1,9,tt_bsd.csv,1.63148832321167,2.4358937766682147,46
Adaptive ST-GNN,42,1,10,tt_depok.csv,2.0029265880584717,2.7203390804878698,46
Adaptive ST-GNN,42,1,11,tt_kebonjeruk.csv,2.5199570655822754,3.1550091107655573,46
Adaptive ST-GNN,42,1,12,tt_tangerang.csv,4.327214241027832,5.727690165446073,46
Adaptive ST-GNN,42,1,13,tt_tbsimatupang.csv,8.746894836425781,11.387780691261385,46
Adaptive ST-GNN,42,1,14,tt_daanmogot.csv,3.33859920501709,4.796123632178554,46
Adaptive ST-GNN,42,1,15,tt_kalimalang.csv,0.9106044173240662,1.5647079126951398,46
Adaptive ST-GNN,42,1,16,tt_lingkardalam.csv,3.079771041870117,3.9684146529165663,46
Adaptive ST-GNN,42,1,17,tt_majapahit.csv,2.399836778640747,3.4427374041662557,46
Adaptive ST-GNN,42,1,18,tt_merdekabar.csv,3.492100238800049,4.652534384869453,46
Adaptive ST-GNN,42,1,19,tt_mtharyono.csv,1.0527187585830688,1.812928050566644,46
Adaptive ST-GNN,42,1,20,tt_rayabogor.csv,1.7197970151901245,2.1254891225338617,46
Adaptive ST-GNN,42,1,21,tt_sparman.csv,1.2202630043029785,1.7534060030310876,46
Adaptive ST-GNN,42,1,22,tt_sudirman_s.csv,1.9992231130599976,2.4335386903758387,46
Adaptive ST-GNN,42,1,23,tt_sultanagung.csv,1.5736863613128662,2.154454133008306,46
Adaptive ST-GNN,42,1,24,tt_cakungcilincing.csv,2.739008903503418,3.257242495941646,46
Adaptive ST-GNN,42,1,25,tt_cibinong.csv,3.1071763038635254,4.050807147186987,46
Adaptive ST-GNN,42,1,26,tt_cibitung.csv,1.240220069885254,1.600457680330705,46
Adaptive ST-GNN,42,1,27,tt_cijantung.csv,1.3186763525009155,1.8780670512521707,46
Adaptive ST-GNN,42,1,28,tt_cilodong.csv,2.2498619556427,3.051323406581999,46
Adaptive ST-GNN,42,1,29,tt_cimanggis.csv,1.9809633493423462,2.648900534513904,46
Adaptive ST-GNN,42,1,30,tt_cipondoh.csv,2.4637322425842285,3.1132961067027103,46
Adaptive ST-GNN,42,1,31,tt_fatmawati.csv,5.0367326736450195,6.680567204955851,46
Adaptive ST-GNN,42,1,32,tt_gadingserpong.csv,2.4703774452209473,3.880418496126175,46
Adaptive ST-GNN,42,1,33,tt_gajahmada.csv,1.6127479076385498,2.006936561307931,46
Adaptive ST-GNN,42,1,34,tt_gunungsahari.csv,1.8704686164855957,2.3999026914578843,46
Adaptive ST-GNN,42,1,35,tt_hayamwuruk.csv,2.3682782649993896,2.930344815584032,46
Adaptive ST-GNN,42,1,36,tt_jatinegara.csv,2.643925428390503,3.3430427445016226,46
