model,seed,horizon,MAE,RMSE,evaluated_points
Adaptive ST-GNN,42,1,2.7908475399017334,4.355529182596441,2944
Adaptive ST-GNN,42,3,3.1527328491210938,4.729899390281732,2944
Adaptive ST-GNN,42,6,3.2374267578125,4.853231490048264,3008
Adaptive ST-GNN,123,1,2.751330852508545,4.396711047924395,2944
Adaptive ST-GNN,123,3,3.0406856536865234,4.841620586305106,2944
Adaptive ST-GNN,123,6,3.1074109077453613,4.873275060414005,3008
Adaptive ST-GNN,456,1,2.779093027114868,4.478814801730279,2944
Adaptive ST-GNN,456,3,3.0241200923919678,4.927820108932648,2944
Adaptive ST-GNN,456,6,3.2017831802368164,5.123783060131453,3008
Adaptive ST-GNN,789,1,2.765550374984741,4.339798042063529,2944
Adaptive ST-GNN,789,3,3.0016825199127197,4.602463120826114,2944
Adaptive ST-GNN,789,6,3.068119764328003,4.730701796747084,3008
Adaptive ST-GNN,2026,1,2.7845458984375,4.402204022225219,2944
Adaptive ST-GNN,2026,3,3.0885274410247803,4.718960384706229,2944
Adaptive ST-GNN,2026,6,3.1841607093811035,4.802237132402989,3008
