node_i,corridor_i,node_j,corridor_j,seed_count,stability,present_in_fixed
41,tt_kemang.csv,43,tt_lebakbulus.csv,5,1.0,False
8,tt_bogor.csv,35,tt_hayamwuruk.csv,4,0.8,False
9,tt_bsd.csv,21,tt_sparman.csv,4,0.8,False
24,tt_cakungcilincing.csv,43,tt_lebakbulus.csv,4,0.8,False
27,tt_cijantung.csv,62,tt_tambun.csv,4,0.8,False
29,tt_cimanggis.csv,49,tt_merak_toll_e.csv,4,0.8,False
2,tt_grogol.csv,17,tt_majapahit.csv,4,0.8,True
15,tt_kalimalang.csv,21,tt_sparman.csv,4,0.8,False
39,tt_karawaci.csv,62,tt_tambun.csv,4,0.8,False
11,tt_kebonjeruk.csv,37,tt_jorr_west.csv,4,0.8,False
11,tt_kebonjeruk.csv,40,tt_kedoya.csv,4,0.8,True
3,tt_kelapagading.csv,14,tt_daanmogot.csv,4,0.8,False
44,tt_lentengagung.csv,53,tt_pluit.csv,4,0.8,False
21,tt_sparman.csv,29,tt_cimanggis.csv,4,0.8,False
21,tt_sparman.csv,39,tt_karawaci.csv,4,0.8,False
9,tt_bsd.csv,15,tt_kalimalang.csv,3,0.6,False
9,tt_bsd.csv,62,tt_tambun.csv,3,0.6,False
24,tt_cakungcilincing.csv,40,tt_kedoya.csv,3,0.6,False
0,tt_cawang.csv,37,tt_jorr_west.csv,3,0.6,False
0,tt_cawang.csv,41,tt_kemang.csv,3,0.6,False
0,tt_cawang.csv,43,tt_lebakbulus.csv,3,0.6,False
26,tt_cibitung.csv,62,tt_tambun.csv,3,0.6,True
30,tt_cipondoh.csv,43,tt_lebakbulus.csv,3,0.6,False
1,tt_gatsu.csv,34,tt_gunungsahari.csv,3,0.6,False
1,tt_gatsu.csv,16,tt_lingkardalam.csv,3,0.6,True
2,tt_grogol.csv,45,tt_mampang.csv,3,0.6,False
2,tt_grogol.csv,5,tt_sudirman.csv,3,0.6,False
34,tt_gunungsahari.csv,46,tt_manggadua.csv,3,0.6,True
37,tt_jorr_west.csv,43,tt_lebakbulus.csv,3,0.6,False
15,tt_kalimalang.csv,44,tt_lentengagung.csv,3,0.6,False
11,tt_kebonjeruk.csv,30,tt_cipondoh.csv,3,0.6,False
40,tt_kedoya.csv,43,tt_lebakbulus.csv,3,0.6,False
40,tt_kedoya.csv,58,tt_ragunan.csv,3,0.6,False
3,tt_kelapagading.csv,8,tt_bogor.csv,3,0.6,False
3,tt_kelapagading.csv,10,tt_depok.csv,3,0.6,False
43,tt_lebakbulus.csv,56,tt_pramuka.csv,3,0.6,False
44,tt_lentengagung.csv,54,tt_pondokindah.csv,3,0.6,False
16,tt_lingkardalam.csv,36,tt_jatinegara.csv,3,0.6,False
45,tt_mampang.csv,63,tt_tendean.csv,3,0.6,True
18,tt_merdekabar.csv,29,tt_cimanggis.csv,3,0.6,False
19,tt_mtharyono.csv,26,tt_cibitung.csv,3,0.6,False
53,tt_pluit.csv,54,tt_pondokindah.csv,3,0.6,False
56,tt_pramuka.csv,58,tt_ragunan.csv,3,0.6,False
5,tt_sudirman.csv,33,tt_gajahmada.csv,3,0.6,False
5,tt_sudirman.csv,11,tt_kebonjeruk.csv,3,0.6,False
