model,horizon,MAE_mean,RMSE_mean,evaluated_points,MAE_std,RMSE_std,num_seeds
Naive,1,2.7605299949645996,5.445349803999284,2944,0.0,0.0,1
Historical Average,1,3.8746562217888623,5.414478926250666,2944,0.0,0.0,1
GRU,1,3.0452690601348875,4.965374313192245,2944,0.014383433635941918,0.010511727686623467,5
Fixed ST-GNN,1,3.0213659763336183,4.8225975814387585,2944,0.03666703546159996,0.014232406596325145,5
Adaptive ST-GNN,1,2.7742735385894775,4.394611419307973,2944,0.014183841467497517,0.04834085895401744,5
Naive,3,3.78158974647522,6.965145256461168,2944,0.0,0.0,1
Historical Average,3,3.913675991089448,5.502208151175187,2944,0.0,0.0,1
GRU,3,3.9095703125,5.935004128488211,2944,0.040216695429523386,0.027141775553963115,5
Fixed ST-GNN,3,3.654183530807495,5.550099938503363,2944,0.027329377809656268,0.04132308887030326,5
Adaptive ST-GNN,3,3.061549711227417,4.764152718210366,2944,0.05378202004444254,0.11148762151647286,5
Naive,6,4.621675491333008,7.779584959281046,3008,0.0,0.0,1
Historical Average,6,4.000689658712833,5.642519822306964,3008,0.0,0.0,1
GRU,6,4.27264289855957,6.063119907606795,3008,0.10631242920352424,0.0731920508948999,5
Fixed ST-GNN,6,3.854721689224243,5.571297792471961,3008,0.025810147883222723,0.0427350748844591,5
Adaptive ST-GNN,6,3.159780263900757,4.876645707948759,3008,0.0625009212178477,0.13302083975089116,5
