edge_type,node_i,corridor_i,node_j,corridor_j
overlap,1,tt_gatsu.csv,16,tt_lingkardalam.csv
overlap,2,tt_grogol.csv,17,tt_majapahit.csv
overlap,2,tt_grogol.csv,33,tt_gajahmada.csv
overlap,7,tt_bekasi.csv,26,tt_cibitung.csv
overlap,11,tt_kebonjeruk.csv,40,tt_kedoya.csv
overlap,13,tt_tbsimatupang.csv,41,tt_kemang.csv
overlap,13,tt_tbsimatupang.csv,43,tt_lebakbulus.csv
overlap,15,tt_kalimalang.csv,23,tt_sultanagung.csv
overlap,17,tt_majapahit.csv,33,tt_gajahmada.csv
overlap,18,tt_merdekabar.csv,21,tt_sparman.csv
overlap,23,tt_sultanagung.csv,62,tt_tambun.csv
overlap,34,tt_gunungsahari.csv,46,tt_manggadua.csv
overlap,39,tt_karawaci.csv,49,tt_merak_toll_e.csv
overlap,43,tt_lebakbulus.csv,58,tt_ragunan.csv
overlap,45,tt_mampang.csv,63,tt_tendean.csv
overlap,50,tt_otista.csv,61,tt_supomo.csv
overlap,55,tt_pospengumben.csv,57,tt_purikembangan.csv
fixed_only,0,tt_cawang.csv,19,tt_mtharyono.csv
fixed_only,0,tt_cawang.csv,36,tt_jatinegara.csv
fixed_only,0,tt_cawang.csv,48,tt_matraman.csv
fixed_only,0,tt_cawang.csv,50,tt_otista.csv
fixed_only,0,tt_cawang.csv,61,tt_supomo.csv
fixed_only,1,tt_gatsu.csv,4,tt_kuningan.csv
fixed_only,1,tt_gatsu.csv,5,tt_sudirman.csv
fixed_only,1,tt_gatsu.csv,22,tt_sudirman_s.csv
fixed_only,1,tt_gatsu.csv,41,tt_kemang.csv
fixed_only,1,tt_gatsu.csv,45,tt_mampang.csv
fixed_only,1,tt_gatsu.csv,48,tt_matraman.csv
fixed_only,1,tt_gatsu.csv,61,tt_supomo.csv
fixed_only,1,tt_gatsu.csv,63,tt_tendean.csv
fixed_only,2,tt_grogol.csv,11,tt_kebonjeruk.csv
fixed_only,2,tt_grogol.csv,14,tt_daanmogot.csv
fixed_only,2,tt_grogol.csv,18,tt_merdekabar.csv
fixed_only,2,tt_grogol.csv,21,tt_sparman.csv
fixed_only,2,tt_grogol.csv,38,tt_kapukmuara.csv
fixed_only,3,tt_kelapagading.csv,24,tt_cakungcilincing.csv
fixed_only,3,tt_kelapagading.csv,47,tt_martadinata.csv
fixed_only,3,tt_kelapagading.csv,51,tt_pemuda.csv
fixed_only,3,tt_kelapagading.csv,52,tt_perintis.csv
fixed_only,3,tt_kelapagading.csv,59,tt_rayabekasi_cakung.csv
fixed_only,4,tt_kuningan.csv,5,tt_sudirman.csv
fixed_only,4,tt_kuningan.csv,16,tt_lingkardalam.csv
fixed_only,4,tt_kuningan.csv,22,tt_sudirman_s.csv
fixed_only,4,tt_kuningan.csv,48,tt_matraman.csv
fixed_only,4,tt_kuningan.csv,63,tt_tendean.csv
fixed_only,5,tt_sudirman.csv,6,tt_thamrin.csv
fixed_only,5,tt_sudirman.csv,16,tt_lingkardalam.csv
fixed_only,5,tt_sudirman.csv,22,tt_sudirman_s.csv
fixed_only,6,tt_thamrin.csv,17,tt_majapahit.csv
fixed_only,6,tt_thamrin.csv,18,tt_merdekabar.csv
fixed_only,6,tt_thamrin.csv,21,tt_sparman.csv
fixed_only,6,tt_thamrin.csv,42,tt_kramatraya.csv
fixed_only,6,tt_thamrin.csv,60,tt_salemba.csv
fixed_only,7,tt_bekasi.csv,15,tt_kalimalang.csv
fixed_only,7,tt_bekasi.csv,23,tt_sultanagung.csv
fixed_only,7,tt_bekasi.csv,59,tt_rayabekasi_cakung.csv
fixed_only,7,tt_bekasi.csv,62,tt_tambun.csv
fixed_only,8,tt_bogor.csv,10,tt_depok.csv
fixed_only,8,tt_bogor.csv,25,tt_cibinong.csv
fixed_only,8,tt_bogor.csv,28,tt_cilodong.csv
fixed_only,8,tt_bogor.csv,29,tt_cimanggis.csv
fixed_only,9,tt_bsd.csv,32,tt_gadingserpong.csv
fixed_only,9,tt_bsd.csv,37,tt_jorr_west.csv
fixed_only,9,tt_bsd.csv,49,tt_merak_toll_e.csv
fixed_only,9,tt_bsd.csv,55,tt_pospengumben.csv
fixed_only,10,tt_depok.csv,20,tt_rayabogor.csv
fixed_only,10,tt_depok.csv,25,tt_cibinong.csv
fixed_only,10,tt_depok.csv,28,tt_cilodong.csv
fixed_only,10,tt_depok.csv,29,tt_cimanggis.csv
fixed_only,11,tt_kebonjeruk.csv,14,tt_daanmogot.csv
fixed_only,11,tt_kebonjeruk.csv,21,tt_sparman.csv
fixed_only,11,tt_kebonjeruk.csv,55,tt_pospengumben.csv
fixed_only,11,tt_kebonjeruk.csv,57,tt_purikembangan.csv
fixed_only,12,tt_tangerang.csv,30,tt_cipondoh.csv
fixed_only,12,tt_tangerang.csv,32,tt_gadingserpong.csv
fixed_only,12,tt_tangerang.csv,39,tt_karawaci.csv
fixed_only,12,tt_tangerang.csv,49,tt_merak_toll_e.csv
fixed_only,13,tt_tbsimatupang.csv,20,tt_rayabogor.csv
fixed_only,13,tt_tbsimatupang.csv,27,tt_cijantung.csv
fixed_only,13,tt_tbsimatupang.csv,31,tt_fatmawati.csv
fixed_only,13,tt_tbsimatupang.csv,44,tt_lentengagung.csv
fixed_only,13,tt_tbsimatupang.csv,58,tt_ragunan.csv
fixed_only,14,tt_daanmogot.csv,38,tt_kapukmuara.csv
fixed_only,14,tt_daanmogot.csv,40,tt_kedoya.csv
fixed_only,14,tt_daanmogot.csv,53,tt_pluit.csv
fixed_only,15,tt_kalimalang.csv,19,tt_mtharyono.csv
fixed_only,15,tt_kalimalang.csv,26,tt_cibitung.csv
fixed_only,15,tt_kalimalang.csv,62,tt_tambun.csv
fixed_only,16,tt_lingkardalam.csv,22,tt_sudirman_s.csv
fixed_only,17,tt_majapahit.csv,18,tt_merdekabar.csv
fixed_only,17,tt_majapahit.csv,34,tt_gunungsahari.csv
fixed_only,17,tt_majapahit.csv,35,tt_hayamwuruk.csv
fixed_only,17,tt_majapahit.csv,46,tt_manggadua.csv
fixed_only,18,tt_merdekabar.csv,33,tt_gajahmada.csv
fixed_only,18,tt_merdekabar.csv,42,tt_kramatraya.csv
fixed_only,19,tt_mtharyono.csv,36,tt_jatinegara.csv
fixed_only,19,tt_mtharyono.csv,50,tt_otista.csv
fixed_only,19,tt_mtharyono.csv,61,tt_supomo.csv
fixed_only,20,tt_rayabogor.csv,27,tt_cijantung.csv
fixed_only,20,tt_rayabogor.csv,29,tt_cimanggis.csv
fixed_only,20,tt_rayabogor.csv,44,tt_lentengagung.csv
fixed_only,23,tt_sultanagung.csv,26,tt_cibitung.csv
fixed_only,24,tt_cakungcilincing.csv,47,tt_martadinata.csv
fixed_only,24,tt_cakungcilincing.csv,51,tt_pemuda.csv
fixed_only,24,tt_cakungcilincing.csv,52,tt_perintis.csv
fixed_only,24,tt_cakungcilincing.csv,59,tt_rayabekasi_cakung.csv
fixed_only,25,tt_cibinong.csv,28,tt_cilodong.csv
fixed_only,25,tt_cibinong.csv,29,tt_cimanggis.csv
fixed_only,26,tt_cibitung.csv,62,tt_tambun.csv
fixed_only,27,tt_cijantung.csv,29,tt_cimanggis.csv
fixed_only,27,tt_cijantung.csv,44,tt_lentengagung.csv
fixed_only,27,tt_cijantung.csv,58,tt_ragunan.csv
fixed_only,28,tt_cilodong.csv,29,tt_cimanggis.csv
fixed_only,30,tt_cipondoh.csv,37,tt_jorr_west.csv
fixed_only,30,tt_cipondoh.csv,39,tt_karawaci.csv
fixed_only,30,tt_cipondoh.csv,55,tt_pospengumben.csv
fixed_only,30,tt_cipondoh.csv,57,tt_purikembangan.csv
fixed_only,31,tt_fatmawati.csv,43,tt_lebakbulus.csv
fixed_only,31,tt_fatmawati.csv,54,tt_pondokindah.csv
fixed_only,31,tt_fatmawati.csv,58,tt_ragunan.csv
fixed_only,32,tt_gadingserpong.csv,37,tt_jorr_west.csv
fixed_only,32,tt_gadingserpong.csv,39,tt_karawaci.csv
fixed_only,32,tt_gadingserpong.csv,49,tt_merak_toll_e.csv
fixed_only,33,tt_gajahmada.csv,34,tt_gunungsahari.csv
fixed_only,33,tt_gajahmada.csv,35,tt_hayamwuruk.csv
fixed_only,33,tt_gajahmada.csv,38,tt_kapukmuara.csv
fixed_only,33,tt_gajahmada.csv,46,tt_manggadua.csv
fixed_only,33,tt_gajahmada.csv,53,tt_pluit.csv
fixed_only,34,tt_gunungsahari.csv,35,tt_hayamwuruk.csv
fixed_only,34,tt_gunungsahari.csv,47,tt_martadinata.csv
fixed_only,35,tt_hayamwuruk.csv,46,tt_manggadua.csv
fixed_only,35,tt_hayamwuruk.csv,53,tt_pluit.csv
fixed_only,36,tt_jatinegara.csv,48,tt_matraman.csv
fixed_only,36,tt_jatinegara.csv,50,tt_otista.csv
fixed_only,36,tt_jatinegara.csv,56,tt_pramuka.csv
fixed_only,37,tt_jorr_west.csv,55,tt_pospengumben.csv
fixed_only,37,tt_jorr_west.csv,57,tt_purikembangan.csv
fixed_only,38,tt_kapukmuara.csv,53,tt_pluit.csv
fixed_only,40,tt_kedoya.csv,55,tt_pospengumben.csv
fixed_only,40,tt_kedoya.csv,57,tt_purikembangan.csv
fixed_only,41,tt_kemang.csv,45,tt_mampang.csv
fixed_only,41,tt_kemang.csv,54,tt_pondokindah.csv
fixed_only,41,tt_kemang.csv,63,tt_tendean.csv
fixed_only,42,tt_kramatraya.csv,56,tt_pramuka.csv
fixed_only,42,tt_kramatraya.csv,60,tt_salemba.csv
fixed_only,43,tt_lebakbulus.csv,54,tt_pondokindah.csv
fixed_only,44,tt_lentengagung.csv,58,tt_ragunan.csv
fixed_only,45,tt_mampang.csv,61,tt_supomo.csv
fixed_only,46,tt_manggadua.csv,47,tt_martadinata.csv
fixed_only,48,tt_matraman.csv,50,tt_otista.csv
fixed_only,48,tt_matraman.csv,61,tt_supomo.csv
fixed_only,51,tt_pemuda.csv,52,tt_perintis.csv
fixed_only,51,tt_pemuda.csv,56,tt_pramuka.csv
fixed_only,51,tt_pemuda.csv,59,tt_rayabekasi_cakung.csv
fixed_only,51,tt_pemuda.csv,60,tt_salemba.csv
fixed_only,52,tt_perintis.csv,56,tt_pramuka.csv
fixed_only,52,tt_perintis.csv,59,tt_rayabekasi_cakung.csv
fixed_only,54,tt_pondokindah.csv,58,tt_ragunan.csv
fixed_only,56,tt_pramuka.csv,60,tt_salemba.csv
fixed_only,61,tt_supomo.csv,63,tt_tendean.csv
adaptive_only,0,tt_cawang.csv,13,tt_tbsimatupang.csv
adaptive_only,0,tt_cawang.csv,37,tt_jorr_west.csv
adaptive_only,0,tt_cawang.csv,41,tt_kemang.csv
adaptive_only,0,tt_cawang.csv,43,tt_lebakbulus.csv
adaptive_only,0,tt_cawang.csv,54,tt_pondokindah.csv
adaptive_only,1,tt_gatsu.csv,27,tt_cijantung.csv
adaptive_only,1,tt_gatsu.csv,33,tt_gajahmada.csv
adaptive_only,1,tt_gatsu.csv,34,tt_gunungsahari.csv
adaptive_only,2,tt_grogol.csv,5,tt_sudirman.csv
adaptive_only,2,tt_grogol.csv,45,tt_mampang.csv
adaptive_only,2,tt_grogol.csv,63,tt_tendean.csv
adaptive_only,3,tt_kelapagading.csv,6,tt_thamrin.csv
adaptive_only,3,tt_kelapagading.csv,8,tt_bogor.csv
adaptive_only,3,tt_kelapagading.csv,10,tt_depok.csv
adaptive_only,3,tt_kelapagading.csv,12,tt_tangerang.csv
adaptive_only,3,tt_kelapagading.csv,14,tt_daanmogot.csv
adaptive_only,3,tt_kelapagading.csv,16,tt_lingkardalam.csv
adaptive_only,3,tt_kelapagading.csv,25,tt_cibinong.csv
adaptive_only,3,tt_kelapagading.csv,28,tt_cilodong.csv
adaptive_only,3,tt_kelapagading.csv,35,tt_hayamwuruk.csv
adaptive_only,3,tt_kelapagading.csv,36,tt_jatinegara.csv
adaptive_only,4,tt_kuningan.csv,7,tt_bekasi.csv
adaptive_only,4,tt_kuningan.csv,12,tt_tangerang.csv
adaptive_only,4,tt_kuningan.csv,50,tt_otista.csv
adaptive_only,4,tt_kuningan.csv,61,tt_supomo.csv
adaptive_only,5,tt_sudirman.csv,17,tt_majapahit.csv
adaptive_only,5,tt_sudirman.csv,30,tt_cipondoh.csv
adaptive_only,5,tt_sudirman.csv,33,tt_gajahmada.csv
adaptive_only,5,tt_sudirman.csv,45,tt_mampang.csv
adaptive_only,5,tt_sudirman.csv,60,tt_salemba.csv
adaptive_only,5,tt_sudirman.csv,63,tt_tendean.csv
adaptive_only,6,tt_thamrin.csv,7,tt_bekasi.csv
adaptive_only,6,tt_thamrin.csv,13,tt_tbsimatupang.csv
adaptive_only,6,tt_thamrin.csv,25,tt_cibinong.csv
adaptive_only,6,tt_thamrin.csv,43,tt_lebakbulus.csv
adaptive_only,6,tt_thamrin.csv,52,tt_perintis.csv
adaptive_only,7,tt_bekasi.csv,8,tt_bogor.csv
adaptive_only,7,tt_bekasi.csv,42,tt_kramatraya.csv
adaptive_only,7,tt_bekasi.csv,51,tt_pemuda.csv
adaptive_only,7,tt_bekasi.csv,53,tt_pluit.csv
adaptive_only,8,tt_bogor.csv,14,tt_daanmogot.csv
adaptive_only,8,tt_bogor.csv,35,tt_hayamwuruk.csv
adaptive_only,9,tt_bsd.csv,10,tt_depok.csv
adaptive_only,9,tt_bsd.csv,15,tt_kalimalang.csv
adaptive_only,9,tt_bsd.csv,21,tt_sparman.csv
adaptive_only,9,tt_bsd.csv,27,tt_cijantung.csv
adaptive_only,9,tt_bsd.csv,39,tt_karawaci.csv
adaptive_only,9,tt_bsd.csv,47,tt_martadinata.csv
adaptive_only,9,tt_bsd.csv,59,tt_rayabekasi_cakung.csv
adaptive_only,9,tt_bsd.csv,62,tt_tambun.csv
adaptive_only,10,tt_depok.csv,31,tt_fatmawati.csv
adaptive_only,10,tt_depok.csv,60,tt_salemba.csv
adaptive_only,11,tt_kebonjeruk.csv,13,tt_tbsimatupang.csv
adaptive_only,11,tt_kebonjeruk.csv,30,tt_cipondoh.csv
adaptive_only,11,tt_kebonjeruk.csv,35,tt_hayamwuruk.csv
adaptive_only,11,tt_kebonjeruk.csv,37,tt_jorr_west.csv
adaptive_only,11,tt_kebonjeruk.csv,38,tt_kapukmuara.csv
adaptive_only,11,tt_kebonjeruk.csv,43,tt_lebakbulus.csv
adaptive_only,11,tt_kebonjeruk.csv,48,tt_matraman.csv
adaptive_only,11,tt_kebonjeruk.csv,56,tt_pramuka.csv
adaptive_only,11,tt_kebonjeruk.csv,58,tt_ragunan.csv
adaptive_only,12,tt_tangerang.csv,14,tt_daanmogot.csv
adaptive_only,12,tt_tangerang.csv,34,tt_gunungsahari.csv
adaptive_only,13,tt_tbsimatupang.csv,63,tt_tendean.csv
adaptive_only,14,tt_daanmogot.csv,25,tt_cibinong.csv
adaptive_only,14,tt_daanmogot.csv,36,tt_jatinegara.csv
adaptive_only,14,tt_daanmogot.csv,46,tt_manggadua.csv
adaptive_only,15,tt_kalimalang.csv,21,tt_sparman.csv
adaptive_only,15,tt_kalimalang.csv,39,tt_karawaci.csv
adaptive_only,15,tt_kalimalang.csv,51,tt_pemuda.csv
adaptive_only,16,tt_lingkardalam.csv,25,tt_cibinong.csv
