model,corridor,horizon,mae,rmse,observed_points
Naive Persistence,tt_cawang.csv,1,6.304347991943359,10.310400546828197,46
Naive Persistence,tt_gatsu.csv,1,7.0652174949646,14.022497357065404,46
Naive Persistence,tt_grogol.csv,1,2.6956522464752197,4.293574726908439,46
Naive Persistence,tt_kelapagading.csv,1,1.6521741151809692,2.4405988899426623,46
Naive Persistence,tt_kuningan.csv,1,1.7608693838119507,3.068067977540121,46
Naive Persistence,tt_sudirman.csv,1,4.5217390060424805,6.375906187987522,46
Naive Persistence,tt_thamrin.csv,1,2.7826085090637207,4.016271160698053,46
Naive Persistence,tt_bekasi.csv,1,0.32608696818351746,1.1131623321732864,46
Naive Persistence,tt_bogor.csv,1,3.4347825050354004,5.421374734890891,46
Naive Persistence,tt_bsd.csv,1,1.6739130020141602,2.8930200500637393,46
Naive Persistence,tt_depok.csv,1,2.04347825050354,3.057421463264154,46
Naive Persistence,tt_kebonjeruk.csv,1,2.54347825050354,4.013564237835911,46
Naive Persistence,tt_tangerang.csv,1,4.304347991943359,7.283095490204257,46
Naive Persistence,tt_tbsimatupang.csv,1,9.565217018127441,14.683619729293325,46
Naive Persistence,tt_daanmogot.csv,1,3.6521739959716797,5.536440552915897,46
Naive Persistence,tt_kalimalang.csv,1,0.52173912525177,1.7937087981380089,46
Naive Persistence,tt_lingkardalam.csv,1,2.6956522464752197,4.45752956001891,46
Naive Persistence,tt_majapahit.csv,1,2.9347825050354004,4.537285304178981,46
Naive Persistence,tt_merdekabar.csv,1,4.5,6.264114920895649,46
Naive Persistence,tt_mtharyono.csv,1,0.43478259444236755,2.0851441206852632,46
Naive Persistence,tt_rayabogor.csv,1,1.3260869979858398,2.5065135027713685,46
Naive Persistence,tt_sparman.csv,1,0.7391306161880493,2.0536293234868146,46
Naive Persistence,tt_sudirman_s.csv,1,2.3913042545318604,3.394368719812637,46
Naive Persistence,tt_sultanagung.csv,1,1.3043478727340698,2.6946003290901444,46
Naive Persistence,tt_cakungcilincing.csv,1,2.6086957454681396,4.064694560119546,46
Naive Persistence,tt_cibinong.csv,1,3.6956522464752197,5.145703065693084,46
Naive Persistence,tt_cibitung.csv,1,0.804347813129425,1.787638801574244,46
Naive Persistence,tt_cijantung.csv,1,0.7826086282730103,2.032346928123957,46
Naive Persistence,tt_cilodong.csv,1,2.130434989929199,3.4325806530328165,46
Naive Persistence,tt_cimanggis.csv,1,2.195652484893799,3.410342776166664,46
Naive Persistence,tt_cipondoh.csv,1,2.2826087474823,3.709564661770758,46
Naive Persistence,tt_fatmawati.csv,1,5.4347825050354,8.730257705083394,46
Naive Persistence,tt_gadingserpong.csv,1,2.13043475151062,4.7089185547945585,46
Naive Persistence,tt_gajahmada.csv,1,1.41304349899292,2.4361409041833766,46
Naive Persistence,tt_gunungsahari.csv,1,1.5652177333831787,2.5452432846671673,46
Naive Persistence,tt_hayamwuruk.csv,1,1.9130436182022095,3.196465841382021,46
