source_index,target_index,source,target,distance_km
0,19,tt_cawang.csv,tt_mtharyono.csv,1.8790989144280856
0,36,tt_cawang.csv,tt_jatinegara.csv,3.38132809456965
0,48,tt_cawang.csv,tt_matraman.csv,2.7739685647865593
0,50,tt_cawang.csv,tt_otista.csv,1.241729175696454
0,61,tt_cawang.csv,tt_supomo.csv,1.8790989144252734
1,4,tt_gatsu.csv,tt_kuningan.csv,1.5456116152460926
1,5,tt_gatsu.csv,tt_sudirman.csv,3.0093446112566955
1,16,tt_gatsu.csv,tt_lingkardalam.csv,2.4696811537090135
1,22,tt_gatsu.csv,tt_sudirman_s.csv,3.1638301129252997
1,41,tt_gatsu.csv,tt_kemang.csv,3.2463354904769686
1,45,tt_gatsu.csv,tt_mampang.csv,1.4733357408503664
1,48,tt_gatsu.csv,tt_matraman.csv,2.469681153710272
1,61,tt_gatsu.csv,tt_supomo.csv,2.2847335234276436
1,63,tt_gatsu.csv,tt_tendean.csv,0.8198536734108334
2,11,tt_grogol.csv,tt_kebonjeruk.csv,3.909837285500024
2,14,tt_grogol.csv,tt_daanmogot.csv,3.9702805670787322
2,17,tt_grogol.csv,tt_majapahit.csv,3.0422102600095444
2,18,tt_grogol.csv,tt_merdekabar.csv,3.4806919017474685
2,21,tt_grogol.csv,tt_sparman.csv,2.1838178563574706
2,33,tt_grogol.csv,tt_gajahmada.csv,2.704111906547398
2,38,tt_grogol.csv,tt_kapukmuara.csv,7.5439367590752635
3,24,tt_kelapagading.csv,tt_cakungcilincing.csv,2.8768870658254393
3,47,tt_kelapagading.csv,tt_martadinata.csv,6.258894435749639
3,51,tt_kelapagading.csv,tt_pemuda.csv,3.774403234962378
3,52,tt_kelapagading.csv,tt_perintis.csv,3.2265517625248443
3,59,tt_kelapagading.csv,tt_rayabekasi_cakung.csv,4.583959994770028
4,5,tt_kuningan.csv,tt_sudirman.csv,1.5728206930978204
4,16,tt_kuningan.csv,tt_lingkardalam.csv,2.2550952024949087
4,22,tt_kuningan.csv,tt_sudirman_s.csv,3.2204021283700586
4,48,tt_kuningan.csv,tt_matraman.csv,2.255095202496287
4,63,tt_kuningan.csv,tt_tendean.csv,2.3455385721265114
5,6,tt_sudirman.csv,tt_thamrin.csv,2.3129633383491583
5,16,tt_sudirman.csv,tt_lingkardalam.csv,2.290614876006453
5,22,tt_sudirman.csv,tt_sudirman_s.csv,3.214293877412003
6,17,tt_thamrin.csv,tt_majapahit.csv,2.6287698201851764
6,18,tt_thamrin.csv,tt_merdekabar.csv,1.4289568959281496
