node_index,corridor_file,latitude,longitude,degree
0,tt_cawang.csv,-6.245,106.865,5
1,tt_gatsu.csv,-6.2349,106.83,9
2,tt_grogol.csv,-6.166,106.79,7
3,tt_kelapagading.csv,-6.158,106.906,5
4,tt_kuningan.csv,-6.221,106.83,6
5,tt_sudirman.csv,-6.2088,106.8228,5
6,tt_thamrin.csv,-6.188,106.823,6
7,tt_bekasi.csv,-6.24,106.975,5
8,tt_bogor.csv,-6.5,106.84,4
9,tt_bsd.csv,-6.3,106.67,4
10,tt_depok.csv,-6.4,106.82,5
11,tt_kebonjeruk.csv,-6.195,106.77,6
12,tt_tangerang.csv,-6.2,106.63,4
13,tt_tbsimatupang.csv,-6.293,106.82,7
14,tt_daanmogot.csv,-6.158,106.755,5
15,tt_kalimalang.csv,-6.256,106.965,5
16,tt_lingkardalam.csv,-6.225,106.81,4
17,tt_majapahit.csv,-6.165,106.8175,7
18,tt_merdekabar.csv,-6.1755,106.82,6
19,tt_mtharyono.csv,-6.245,106.882,5
20,tt_rayabogor.csv,-6.33,106.86,5
21,tt_sparman.csv,-6.185,106.795,4
22,tt_sudirman_s.csv,-6.229,106.802,4
23,tt_sultanagung.csv,-6.255,107.005,4
24,tt_cakungcilincing.csv,-6.148,106.93,5
25,tt_cibinong.csv,-6.48,106.85,4
26,tt_cibitung.csv,-6.245,107.095,4
27,tt_cijantung.csv,-6.31,106.855,5
28,tt_cilodong.csv,-6.43,106.84,4
29,tt_cimanggis.csv,-6.37,106.885,6
30,tt_cipondoh.csv,-6.195,106.68,5
31,tt_fatmawati.csv,-6.292,106.797,4
32,tt_gadingserpong.csv,-6.245,106.64,5
33,tt_gajahmada.csv,-6.152,106.81,8
34,tt_gunungsahari.csv,-6.148,106.83,5
35,tt_hayamwuruk.csv,-6.145,106.815,5
36,tt_jatinegara.csv,-6.215,106.87,5
37,tt_jorr_west.csv,-6.235,106.695,5
38,tt_kapukmuara.csv,-6.115,106.745,4
39,tt_karawaci.csv,-6.22,106.61,4
40,tt_kedoya.csv,-6.195,106.755,4
41,tt_kemang.csv,-6.26,106.815,5
42,tt_kramatraya.csv,-6.182,106.845,4
43,tt_lebakbulus.csv,-6.305,106.785,4
44,tt_lentengagung.csv,-6.31,106.835,4
45,tt_mampang.csv,-6.248,106.828,4
46,tt_manggadua.csv,-6.142,106.822,5
47,tt_martadinata.csv,-6.108,106.88,4
48,tt_matraman.csv,-6.225,106.85,6
49,tt_merak_toll_e.csv,-6.24,106.59,4
50,tt_otista.csv,-6.235,106.86,5
51,tt_pemuda.csv,-6.18,106.88,6
52,tt_perintis.csv,-6.187,106.905,5
53,tt_pluit.csv,-6.122,106.778,4
54,tt_pondokindah.csv,-6.28,106.78,4
55,tt_pospengumben.csv,-6.225,106.73,6
56,tt_pramuka.csv,-6.19,106.865,5
57,tt_purikembangan.csv,-6.205,106.73,5
58,tt_ragunan.csv,-6.295,106.815,6
59,tt_rayabekasi_cakung.csv,-6.172,106.945,5
60,tt_salemba.csv,-6.185,106.85,4
61,tt_supomo.csv,-6.245,106.848,7
62,tt_tambun.csv,-6.268,107.05,4
63,tt_tendean.csv,-6.242,106.832,5
