model,seed,horizon,MAE,RMSE,evaluated_points
Fixed ST-GNN,42,1,3.03564453125,4.82978629261422,2944
Fixed ST-GNN,42,3,3.6808667182922363,5.569321296748904,2944
Fixed ST-GNN,42,6,3.8562514781951904,5.55625307578655,3008
Fixed ST-GNN,123,1,3.05643892288208,4.826230365641111,2944
Fixed ST-GNN,123,3,3.673623561859131,5.539556613076756,2944
Fixed ST-GNN,123,6,3.820573568344116,5.545911764406641,3008
Fixed ST-GNN,456,1,2.9577882289886475,4.840684277422112,2944
Fixed ST-GNN,456,3,3.624349594116211,5.604309515095612,2944
Fixed ST-GNN,456,6,3.8704159259796143,5.646483023823775,3008
Fixed ST-GNN,789,1,3.0524065494537354,4.8182172626742386,2944
Fixed ST-GNN,789,3,3.67451548576355,5.558287321907788,2944
Fixed ST-GNN,789,6,3.8929567337036133,5.585574008879212,3008
Fixed ST-GNN,2026,1,3.004551649093628,4.798069708842109,2944
Fixed ST-GNN,2026,3,3.6175622940063477,5.479024945687759,2944
Fixed ST-GNN,2026,6,3.8334107398986816,5.522267089463624,3008
