seed,horizon,mae,rmse,observed_points,epochs,best_val_loss
42,1,3.03537917137146,4.969177227726602,2944,100,0.24207480251789093
42,3,3.877058506011963,5.937334239051305,2944,100,0.24207480251789093
42,6,4.287182807922363,6.134295202932343,3008,100,0.24207480251789093
123,1,3.0543830394744873,4.948667620507738,2944,100,0.24462033808231354
123,3,3.9589829444885254,5.944215209597295,2944,100,0.24462033808231354
123,6,4.445064544677734,6.145113559105061,3008,100,0.24462033808231354
456,1,3.026383399963379,4.963722228388259,2944,100,0.2388835847377777
456,3,3.8781375885009766,5.944462278028379,2944,100,0.2388835847377777
456,6,4.186086654663086,6.023202537773004,3008,100,0.2388835847377777
789,1,3.067420244216919,4.981319435621666,2944,100,0.24445991218090057
789,3,3.9586374759674072,5.965020897213958,2944,100,0.24445991218090057
789,6,4.306221008300781,6.065613252057466,3008,100,0.24445991218090057
2026,1,3.0427794456481934,4.963985053716962,2944,100,0.2386098951101303
2026,3,3.875035047531128,5.883988018550124,2944,100,0.2386098951101303
2026,6,4.138659477233887,5.9473749861661,3008,100,0.2386098951101303
